Frame,L_Femur_L_Tibia,L_Tibia_L_Foot_X,L_Tibia_L_Foot_Y,L_Tibia_L_Foot_Z,R_Femur_R_Tibia,R_Tibia_R_Foot_X,R_Tibia_R_Foot_Y,R_Tibia_R_Foot_Z,Root_L_Femur_X,Root_L_Femur_Y,Root_L_Femur_Z,Root_R_Femur_X,Root_R_Femur_Y,Root_R_Femur_Z,World_Root_Ang_X,World_Root_Ang_Y,World_Root_Ang_Z,World_Root_Pos_X,World_Root_Pos_Y,World_Root_Pos_Z
54,8.44439,-12.65390,-32.55650,-51.16730,4.12845,-12.10660,24.01560,43.07840,-14.86930,21.81280,12.01880,-11.51720,-30.01460,-14.36610,162.20400,-69.19010,165.42700,54.27500,865.70300,304.72000
55,8.44893,-12.64240,-32.54290,-51.11710,4.09383,-12.09650,23.93250,43.09070,-14.86820,21.78420,12.00530,-11.47690,-29.95540,-14.35370,162.20100,-69.21320,165.43000,54.33430,865.71800,304.76200
56,8.45833,-12.62660,-32.54720,-51.07710,4.13165,-12.10340,23.99030,43.06280,-14.88360,21.77630,12.00460,-11.52320,-30.01800,-14.37950,162.18500,-69.22620,165.41500,54.41510,865.72800,304.79500
57,8.45788,-12.62280,-32.54660,-51.06300,4.12714,-12.09990,23.97820,43.06050,-14.89030,21.75590,11.99840,-11.52500,-30.01980,-14.38120,162.16600,-69.24230,165.39800,54.48810,865.73600,304.83200
58,8.45588,-12.62060,-32.53500,-51.04280,4.08777,-12.09620,23.89690,43.08350,-14.88850,21.72710,11.98500,-11.48610,-29.95660,-14.36600,162.15600,-69.26020,165.39300,54.55210,865.73900,304.87800
59,8.45950,-12.62450,-32.54720,-51.03560,4.11705,-12.10080,23.94540,43.07670,-14.89750,21.71730,11.98330,-11.52210,-30.01030,-14.38710,162.14300,-69.27250,165.38200,54.61770,865.73500,304.90000
60,8.45913,-12.61500,-32.54330,-51.01160,4.08544,-12.09510,23.87980,43.10060,-14.90150,21.69570,11.96790,-11.49910,-29.96220,-14.38040,162.12200,-69.28930,165.36900,54.68820,865.74000,304.95700
61,8.46996,-12.60640,-32.53900,-50.97130,4.08791,-12.09460,23.85940,43.10690,-14.91880,21.67670,11.96060,-11.50940,-29.95100,-14.38470,162.09300,-69.30180,165.34400,54.77530,865.74100,305.01200
62,8.47720,-12.59460,-32.54940,-50.94910,4.13033,-12.10870,23.94230,43.11440,-14.93990,21.66730,11.95210,-11.57790,-30.02760,-14.42230,162.05200,-69.31230,165.31100,54.86800,865.74800,305.06500
63,8.47587,-12.58780,-32.54770,-50.92110,4.13693,-12.10550,23.94620,43.09340,-14.95460,21.65180,11.94480,-11.60360,-30.03550,-14.43110,162.01500,-69.31780,165.27800,54.94540,865.74800,305.12600
64,8.46930,-12.57410,-32.52400,-50.88340,4.11533,-12.09210,23.88370,43.11730,-14.96450,21.61750,11.91810,-11.60840,-29.98020,-14.43470,161.95700,-69.32560,165.23700,55.03760,865.76900,305.21600
65,8.46140,-12.56660,-32.50540,-50.86310,4.12083,-12.08370,23.87700,43.08960,-14.97210,21.59000,11.90920,-11.62710,-29.97860,-14.43940,161.91900,-69.33100,165.20200,55.11910,865.77000,305.27000
66,8.46122,-12.56240,-32.47730,-50.83570,4.16020,-12.09060,23.94410,43.08490,-14.99740,21.56540,11.89880,-11.70400,-30.03020,-14.47030,161.85100,-69.32620,165.14200,55.22500,865.79200,305.33800
67,8.45377,-12.56230,-32.45730,-50.82740,4.17010,-12.07780,23.96350,43.04920,-14.99950,21.54210,11.89040,-11.73040,-30.05330,-14.48100,161.82900,-69.32930,165.12300,55.30320,865.79600,305.39500
68,8.45284,-12.56890,-32.48070,-50.83060,4.16789,-12.08720,24.00770,43.09040,-14.98690,21.56120,11.88010,-11.73710,-30.09710,-14.50530,161.86200,-69.33950,165.16500,55.31260,865.78100,305.42800
69,8.45357,-12.55870,-32.49700,-50.81320,4.16704,-12.08570,24.00740,42.97690,-14.99570,21.57450,11.87190,-11.77670,-30.16350,-14.52600,161.85100,-69.34460,165.16100,55.37950,865.77800,305.48300
