Frame,L_Femur_L_Tibia,L_Tibia_L_Foot_X,L_Tibia_L_Foot_Y,L_Tibia_L_Foot_Z,R_Femur_R_Tibia,R_Tibia_R_Foot_X,R_Tibia_R_Foot_Y,R_Tibia_R_Foot_Z,Root_L_Femur_X,Root_L_Femur_Y,Root_L_Femur_Z,Root_R_Femur_X,Root_R_Femur_Y,Root_R_Femur_Z,World_Root_Ang_X,World_Root_Ang_Y,World_Root_Ang_Z,World_Root_Pos_X,World_Root_Pos_Y,World_Root_Pos_Z
88,8.30185,-12.01740,-39.08510,-43.89730,3.01118,-13.32840,20.51730,40.71930,-14.32020,14.56480,9.03211,-7.06783,-26.64070,-8.26121,158.75600,-66.29280,162.94900,-67.35150,874.88300,395.99200
89,8.31060,-12.01520,-39.09300,-43.88080,3.01981,-13.32780,20.53400,40.70660,-14.33740,14.57630,9.04420,-7.07952,-26.65220,-8.25525,158.75000,-66.28740,162.93800,-67.27420,874.88800,395.96600
90,8.31810,-12.01750,-39.09390,-43.88050,3.03606,-13.32750,20.57220,40.69790,-14.34560,14.58130,9.05238,-7.09420,-26.67870,-8.25598,158.75600,-66.28350,162.94200,-67.19990,874.89100,395.94400
91,8.32185,-12.01640,-39.07380,-43.86430,3.03950,-13.33000,20.59290,40.70070,-14.34590,14.56450,9.05592,-7.09772,-26.69490,-8.25358,158.76400,-66.28190,162.94800,-67.14260,874.89000,395.92100
92,8.32697,-12.01360,-39.04840,-43.84320,3.03185,-13.32780,20.58520,40.70150,-14.34660,14.53860,9.05687,-7.09179,-26.68870,-8.24674,158.76800,-66.28460,162.95000,-67.08430,874.89300,395.90600
93,8.34231,-12.01070,-39.04350,-43.82310,3.04356,-13.32440,20.60150,40.69570,-14.35990,14.53420,9.06835,-7.10098,-26.70490,-8.24091,158.77100,-66.28180,162.94700,-67.00220,874.88900,395.88100
94,8.35496,-12.01160,-39.02480,-43.80340,3.05361,-13.32510,20.61730,40.69390,-14.37330,14.51570,9.07193,-7.11642,-26.71850,-8.24119,158.76300,-66.27990,162.93900,-66.91800,874.88900,395.87200
95,8.36469,-12.01540,-39.01970,-43.77500,3.05030,-13.32520,20.61920,40.69460,-14.38120,14.50860,9.07876,-7.11439,-26.71970,-8.23293,158.76700,-66.27920,162.93900,-66.84850,874.89300,395.85900
96,8.37435,-12.01180,-38.99600,-43.76000,3.04795,-13.31140,20.59830,40.68190,-14.38940,14.49120,9.08071,-7.11702,-26.71070,-8.22910,158.76400,-66.27610,162.93600,-66.77680,874.89500,395.85900
97,8.38041,-12.01450,-38.97600,-43.73700,3.02594,-13.31370,20.57630,40.70530,-14.39510,14.48050,9.08074,-7.10744,-26.67220,-8.22023,158.76500,-66.26870,162.93900,-66.70770,874.89500,395.86800
98,8.42806,-12.00810,-39.11750,-43.67310,3.03205,-13.30630,20.57090,40.70420,-14.44850,14.62700,9.10854,-7.11342,-26.66750,-8.21793,158.77200,-66.26010,162.94400,-66.64370,874.89300,395.87200
99,8.43493,-12.00510,-39.10930,-43.64560,3.03304,-13.30960,20.58010,40.70030,-14.45560,14.62170,9.11136,-7.12136,-26.66450,-8.21691,158.77500,-66.25020,162.94700,-66.58360,874.89800,395.87600
100,8.43902,-11.99940,-39.08040,-43.62990,3.04163,-13.30810,20.60490,40.70300,-14.46090,14.59950,9.11123,-7.13927,-26.68130,-8.22052,158.77100,-66.24030,162.94400,-66.52150,874.90100,395.88300
101,8.44757,-12.00050,-39.05600,-43.62250,3.05340,-13.31200,20.66350,40.69870,-14.46780,14.58390,9.11545,-7.15869,-26.71890,-8.22305,158.77400,-66.23330,162.94500,-66.45570,874.90200,395.88300
102,8.46013,-11.99820,-39.04350,-43.60050,3.05884,-13.31650,20.68790,40.70130,-14.47660,14.57430,9.11750,-7.16950,-26.73140,-8.22565,158.77600,-66.22830,162.94700,-66.39820,874.90400,395.89300
103,8.47896,-11.99140,-39.03300,-43.56310,3.06145,-13.28570,20.66530,40.65010,-14.55540,14.55190,9.13218,-7.22860,-26.72560,-8.20852,158.63200,-66.21390,162.80300,-66.27580,874.92400,395.90700
104,8.49047,-11.99310,-39.02200,-43.54410,3.06621,-13.28470,20.68360,40.64120,-14.57570,14.54260,9.13808,-7.24628,-26.74550,-8.20629,158.61200,-66.21130,162.78100,-66.19070,874.92300,395.91600
105,8.49826,-11.99010,-39.00990,-43.51280,3.06635,-13.28070,20.69260,40.62710,-14.59390,14.53920,9.13988,-7.26259,-26.75820,-8.20572,158.58700,-66.20840,162.75800,-66.12630,874.92900,395.93300
106,8.50999,-11.98610,-39.02990,-43.49440,3.06757,-13.27750,20.70120,40.63560,-14.61510,14.56050,9.14516,-7.27679,-26.76150,-8.20620,158.57000,-66.20360,162.74200,-66.06530,874.92700,395.95300
107,8.50763,-11.98950,-39.05960,-43.49020,3.05383,-13.29710,20.76120,40.68050,-14.58180,14.55970,9.13741,-7.24291,-26.84850,-8.21828,158.62500,-66.23900,162.79900,-66.11430,874.90300,395.89200
