Frame,L_Femur_L_Tibia,L_Tibia_L_Foot_X,L_Tibia_L_Foot_Y,L_Tibia_L_Foot_Z,R_Femur_R_Tibia,R_Tibia_R_Foot_X,R_Tibia_R_Foot_Y,R_Tibia_R_Foot_Z,Root_L_Femur_X,Root_L_Femur_Y,Root_L_Femur_Z,Root_R_Femur_X,Root_R_Femur_Y,Root_R_Femur_Z,World_Root_Ang_X,World_Root_Ang_Y,World_Root_Ang_Z,World_Root_Pos_X,World_Root_Pos_Y,World_Root_Pos_Z
50,12.329000,-9.693330,-27.764900,-36.911400,4.932150,-9.873000,21.796300,35.912100,-14.080300,19.961200,8.425200,-10.409200,-22.710400,-10.078100,168.882000,-54.250500,173.917000,44.593300,876.187000,438.795000
51,12.357400,-9.714090,-27.736800,-36.927300,4.937710,-9.877720,21.820000,35.886100,-14.094800,19.916200,8.435340,-10.414100,-22.732800,-10.069300,168.869000,-54.245200,173.900000,44.555200,876.183000,438.672000
52,12.361600,-9.712070,-27.702600,-36.950300,4.942540,-9.889630,21.850700,35.891200,-14.091000,19.881200,8.437580,-10.415400,-22.756700,-10.066300,168.861000,-54.239900,173.892000,44.492800,876.179000,438.544000
53,12.362100,-9.716770,-27.703600,-36.958300,4.946900,-9.897250,21.868900,35.891500,-14.097200,19.887200,8.447400,-10.420400,-22.770500,-10.060200,168.842000,-54.234700,173.874000,44.434400,876.177000,438.413000
54,12.329200,-9.718780,-27.691200,-36.987800,4.942830,-9.906410,21.883000,35.906500,-14.076100,19.881700,8.441900,-10.415600,-22.768800,-10.057300,168.830000,-54.229900,173.866000,44.357500,876.177000,438.288000
55,12.300800,-9.722330,-27.701000,-37.007500,4.957860,-9.918580,21.901100,35.882000,-14.071100,19.904500,8.444730,-10.432800,-22.790700,-10.056600,168.803000,-54.226100,173.844000,44.303000,876.180000,438.161000
56,12.262900,-9.723400,-27.717700,-37.045100,4.958360,-9.926120,21.864400,35.916100,-14.063400,19.933500,8.450620,-10.425800,-22.729300,-10.043500,168.776000,-54.224000,173.819000,44.252400,876.187000,438.021000
57,12.217200,-9.723820,-27.753800,-37.082400,4.957570,-9.940270,21.850400,35.938700,-14.052000,19.970400,8.455280,-10.422000,-22.715000,-10.034000,168.751000,-54.228000,173.796000,44.193200,876.184000,437.879000
58,12.170000,-9.712170,-27.790600,-37.081200,4.966750,-9.954030,21.857200,35.919000,-14.039100,20.011400,8.456260,-10.431800,-22.742300,-10.034500,168.727000,-54.236400,173.776000,44.131900,876.196000,437.745000
59,12.121200,-9.698470,-27.820100,-37.109700,4.981270,-9.960610,21.867700,35.912300,-14.034200,20.036500,8.457310,-10.449100,-22.753600,-10.033900,168.688000,-54.246900,173.743000,44.080500,876.204000,437.622000
60,12.076600,-9.717340,-27.880200,-37.149500,4.597610,-10.064000,19.902900,36.641500,-13.977500,20.068000,8.416390,-9.830780,-20.832100,-9.787610,168.703000,-54.293000,173.786000,43.881800,876.138000,437.463000
61,12.048200,-9.724550,-27.938300,-37.202700,4.537620,-10.067300,19.675600,36.719900,-13.976700,20.105600,8.435850,-9.746250,-20.643100,-9.737160,168.685000,-54.311400,173.760000,43.826800,876.133000,437.299000
62,12.030100,-9.714710,-27.991600,-37.193400,4.545750,-10.081900,19.653400,36.733200,-13.999300,20.147600,8.447890,-9.758250,-20.640100,-9.728960,168.637000,-54.331200,173.716000,43.787800,876.133000,437.180000
63,12.026100,-9.707290,-27.995400,-37.170500,4.973800,-10.003600,21.593800,35.982400,-14.091500,20.173100,8.498820,-10.431300,-22.546900,-9.969500,168.524000,-54.299000,173.587000,43.935000,876.210000,437.186000
64,12.003600,-9.704020,-28.026800,-37.183800,5.016540,-10.013100,21.872900,35.900100,-14.085800,20.156600,8.495140,-10.492900,-22.826100,-10.011500,168.495000,-54.359900,173.557000,43.799300,876.206000,437.024000
65,11.974600,-9.709470,-28.030200,-37.206300,5.022090,-10.017100,21.882500,35.872100,-14.087100,20.139100,8.487150,-10.508300,-22.849500,-10.014500,168.452000,-54.384500,173.522000,43.742500,876.213000,436.930000
66,11.960000,-9.704420,-28.020100,-37.205100,5.029410,-10.027300,21.851900,35.876700,-14.101900,20.115400,8.487700,-10.520400,-22.846800,-10.007600,168.402000,-54.408300,173.476000,43.701300,876.215000,436.832000
67,11.940500,-9.721830,-28.015600,-37.226400,5.013790,-10.017900,21.856800,36.192300,-14.104300,20.096400,8.487700,-10.482700,-22.741200,-9.993790,168.367000,-54.431000,173.442000,43.633500,876.224000,436.721000
68,11.911600,-9.724630,-28.034100,-37.252000,4.622230,-10.139600,19.849500,36.653500,-14.048700,20.094600,8.435790,-9.888420,-20.900000,-9.754650,168.381000,-54.476700,173.491000,43.417400,876.147000,436.580000
69,11.903100,-9.740750,-28.062900,-37.281500,4.552670,-10.111800,19.636000,37.054900,-14.068700,20.112900,8.460930,-9.784720,-20.578200,-9.696390,168.345000,-54.478500,173.446000,43.378400,876.161000,436.443000
70,11.894000,-9.705860,-28.043600,-37.214000,4.997230,-9.991960,21.883100,36.166200,-14.165000,20.111900,8.520550,-10.526800,-22.793000,-9.959270,168.217000,-54.444300,173.291000,43.470500,876.284000,436.421000
71,11.856700,-9.706470,-28.027800,-37.229300,5.067640,-9.989090,22.162000,35.988000,-14.145100,20.090700,8.505100,-10.619600,-23.051200,-10.006700,168.189000,-54.454000,173.272000,43.346700,876.288000,436.332000
72,11.829300,-9.704700,-28.033400,-37.250300,5.086240,-10.001000,22.199200,35.948400,-14.151900,20.101300,8.501190,-10.657500,-23.090400,-10.015100,168.139000,-54.452200,173.232000,43.264100,876.293000,436.245000
73,11.804300,-9.724300,-28.037400,-37.258600,5.076890,-10.022700,22.139100,35.633600,-14.157500,20.107700,8.493060,-10.696900,-23.152900,-10.016400,168.087000,-54.449200,173.196000,43.182200,876.290000,436.162000
74,11.788900,-9.751550,-28.062200,-37.344500,5.028300,-10.073500,21.853500,35.803800,-14.170300,20.134500,8.484200,-10.638400,-22.859900,-9.984690,168.031000,-54.445400,173.165000,43.103000,876.233000,436.037000
75,11.746200,-9.732860,-28.025600,-37.340500,5.048480,-9.989820,22.125100,35.896400,-14.195800,20.101200,8.498360,-10.708300,-23.004100,-9.988030,167.946000,-54.431900,173.072000,43.040300,876.312000,435.976000
76,11.714400,-9.736270,-28.036000,-37.347100,5.056690,-9.995800,22.202700,35.893000,-14.201800,20.106700,8.492470,-10.748600,-23.061000,-9.998200,167.888000,-54.426800,173.027000,42.934300,876.320000,435.874000
77,11.692000,-9.751420,-28.065700,-37.411200,4.959400,-10.075800,21.701600,36.225800,-14.213700,20.121600,8.468610,-10.630800,-22.559600,-9.949790,167.818000,-54.430400,172.995000,42.822800,876.241000,435.753000
78,11.680500,-9.813760,-28.046400,-37.481200,4.929760,-10.088300,21.609100,36.298700,-14.222100,20.111300,8.472140,-10.619300,-22.455700,-9.931760,167.757000,-54.423400,172.945000,42.728600,876.247000,435.653000
79,11.630200,-9.774030,-28.088500,-37.466500,4.939950,-10.084600,21.732100,36.267500,-14.252000,20.126400,8.462470,-10.691800,-22.562700,-9.949510,167.667000,-54.418300,172.871000,42.634200,876.252000,435.595000
80,11.615200,-9.810380,-28.043500,-37.524400,4.999040,-10.002700,22.186400,35.939900,-14.292400,20.101600,8.490310,-10.859600,-23.026400,-9.983120,167.567000,-54.403900,172.760000,42.552300,876.332000,435.549000
81,11.575400,-9.831260,-28.065600,-37.599800,4.942040,-10.083300,21.848800,36.190800,-14.293500,20.105200,8.447510,-10.802100,-22.680400,-9.971570,167.485000,-54.415900,172.724000,42.405600,876.264000,435.480000
82,11.512300,-9.801360,-28.084000,-37.587400,4.997430,-10.010900,22.234400,35.925200,-14.348700,20.104400,8.459890,-10.970900,-23.061000,-9.998820,167.357000,-54.403300,172.591000,42.335200,876.330000,435.472000
83,11.453300,-9.814510,-28.081600,-37.630600,4.836980,-9.979330,22.006200,36.007300,-14.352500,20.092500,8.427030,-10.891900,-22.849500,-9.958940,167.260000,-54.409100,172.523000,42.165100,876.332000,435.457000
84,11.435900,-9.866020,-28.078000,-37.753400,4.816430,-9.971670,21.981900,36.013700,-14.387000,20.094800,8.427190,-10.925700,-22.818900,-9.954870,167.150000,-54.412700,172.431000,42.045000,876.341000,435.411000
85,11.411600,-9.901220,-28.140400,-37.828000,4.739950,-10.030600,21.631300,36.279400,-14.417400,20.136600,8.398470,-10.866400,-22.459600,-9.935090,167.045000,-54.426700,172.368000,41.876600,876.280000,435.374000
86,11.375600,-9.901410,-28.171100,-37.795900,4.773730,-9.957880,21.884500,36.073600,-14.486900,20.149700,8.412900,-11.007800,-22.702900,-9.955660,166.899000,-54.421900,172.225000,41.772500,876.359000,435.396000
87,11.349300,-9.940620,-28.241900,-37.898300,4.726480,-10.014200,21.617700,36.269300,-14.531600,20.189700,8.383240,-10.994100,-22.418600,-9.951160,166.769000,-54.431500,172.141000,41.575800,876.293000,435.392000
88,11.331000,-9.949030,-28.303700,-37.928800,4.721300,-10.016600,21.589100,35.853900,-14.601300,20.214000,8.371790,-11.102100,-22.549500,-9.970570,166.617000,-54.443400,172.016000,41.395500,876.315000,435.447000
89,11.319400,-9.957980,-28.374000,-37.963700,4.729170,-9.994690,21.611500,36.029800,-14.693000,20.246600,8.366910,-11.172000,-22.507800,-9.980350,166.442000,-54.454400,171.868000,41.215500,876.339000,435.523000
90,11.307400,-9.970260,-28.403300,-37.963500,4.770330,-9.937100,21.928000,35.784700,-14.781700,20.240000,8.363430,-11.348400,-22.846100,-10.031100,166.267000,-54.466500,171.709000,41.019000,876.411000,435.648000
