Frame,L_Femur_L_Tibia,L_Tibia_L_Foot_X,L_Tibia_L_Foot_Y,L_Tibia_L_Foot_Z,R_Femur_R_Tibia,R_Tibia_R_Foot_X,R_Tibia_R_Foot_Y,R_Tibia_R_Foot_Z,Root_L_Femur_X,Root_L_Femur_Y,Root_L_Femur_Z,Root_R_Femur_X,Root_R_Femur_Y,Root_R_Femur_Z,World_Root_Ang_X,World_Root_Ang_Y,World_Root_Ang_Z,World_Root_Pos_X,World_Root_Pos_Y,World_Root_Pos_Z
66,19.48710,-14.79210,-27.85170,-41.96010,12.59700,-13.69740,23.55830,34.86150,-16.71960,11.75690,8.61321,-12.33290,-16.97730,-8.44543,153.01400,-76.34460,155.15900,-49.92660,874.32900,412.85900
67,19.50800,-14.79910,-27.86020,-41.94750,12.58880,-13.69610,23.56730,34.90700,-16.73230,11.75840,8.62242,-12.32830,-16.96400,-8.44028,153.00600,-76.34430,155.14800,-49.94750,874.31900,412.81700
68,19.52540,-14.79890,-27.85560,-41.94240,12.61340,-13.70820,23.55160,34.89350,-16.74280,11.74950,8.63006,-12.33720,-16.96990,-8.43461,153.00200,-76.34260,155.14000,-49.95090,874.30400,412.77200
69,19.54210,-14.80390,-27.84520,-41.95500,12.61110,-13.70620,23.56360,34.92720,-16.75050,11.73970,8.63971,-12.33450,-16.96110,-8.42757,153.00600,-76.34220,155.13800,-49.96250,874.29200,412.72900
70,19.55420,-14.80280,-27.83610,-41.95920,12.61980,-13.70980,23.56660,34.93310,-16.75860,11.72350,8.64518,-12.33890,-16.96790,-8.42246,152.99000,-76.34340,155.11900,-49.97130,874.28600,412.68100
71,19.56310,-14.80920,-27.83070,-41.96470,12.62400,-13.71380,23.55720,34.93850,-16.76170,11.71590,8.65256,-12.33490,-16.96700,-8.41443,152.99600,-76.34440,155.11900,-49.98350,874.27300,412.63600
72,19.57880,-14.83020,-27.85910,-41.99360,12.69580,-13.71370,23.72280,34.83530,-16.77030,11.73080,8.67552,-12.38850,-17.14300,-8.43269,153.00800,-76.34610,155.12100,-50.00130,874.25500,412.53200
73,19.57460,-14.82700,-27.82450,-41.99560,12.62740,-13.71670,23.56500,34.93590,-16.77160,11.69720,8.66402,-12.33750,-16.98040,-8.40142,152.97300,-76.34130,155.09000,-50.00310,874.26900,412.54600
74,19.57720,-14.82860,-27.81550,-41.99310,12.62000,-13.71300,23.55230,34.95320,-16.77300,11.69130,8.67194,-12.32860,-16.96700,-8.38897,152.97400,-76.33750,155.08500,-50.01610,874.26400,412.48800
75,19.58270,-14.83730,-27.80910,-42.00550,12.61630,-13.72320,23.54080,34.96150,-16.78010,11.68600,8.67879,-12.32820,-16.95230,-8.37838,152.96300,-76.32970,155.07100,-50.01720,874.26100,412.43400
76,19.58630,-14.84110,-27.80010,-42.02830,12.61380,-13.72160,23.54040,34.98830,-16.78240,11.67780,8.68686,-12.32460,-16.94090,-8.36740,152.96400,-76.32300,155.06800,-50.02320,874.25300,412.37900
77,19.60390,-14.85680,-27.82600,-42.04730,12.69190,-13.73400,23.67050,34.84430,-16.79030,11.69940,8.71151,-12.37380,-17.10980,-8.38068,152.99000,-76.32410,155.08400,-50.04100,874.22900,412.25800
78,19.62260,-14.85140,-27.82140,-42.03850,12.68090,-13.72760,23.68280,34.87040,-16.80270,11.69400,8.72318,-12.36800,-17.10000,-8.37122,152.98600,-76.32260,155.07500,-50.03780,874.21700,412.20300
79,19.57820,-14.87120,-27.69080,-42.13330,12.67830,-13.73280,23.66870,34.92560,-16.76560,11.56080,8.69805,-12.36320,-17.08320,-8.36086,152.96600,-76.32350,155.05300,-50.03040,874.21500,412.14000
80,19.65260,-14.85880,-27.77380,-42.04250,12.68320,-13.73410,23.60210,34.85370,-16.82060,11.63870,8.73430,-12.35440,-17.07960,-8.33843,152.95500,-76.32930,155.03500,-50.03320,874.19300,412.09100
81,19.67460,-14.85600,-27.77710,-42.03620,12.69140,-13.73120,23.65520,34.86190,-16.83310,11.63200,8.75874,-12.35210,-17.11390,-8.32770,152.96100,-76.33430,155.02400,-50.03530,874.18000,412.00700
82,19.69360,-14.85280,-27.76130,-42.00350,12.68800,-13.73350,23.62660,34.84270,-16.84230,11.60920,8.76200,-12.34310,-17.11360,-8.31559,152.94700,-76.34360,155.00800,-50.04240,874.17300,411.95500
83,19.70910,-14.86380,-27.73740,-42.01200,12.68690,-13.72970,23.62010,34.82140,-16.84960,11.57770,8.77606,-12.33150,-17.12370,-8.29771,152.93400,-76.35670,154.98200,-50.03370,874.15700,411.87800
84,19.71750,-14.84580,-27.69190,-41.98370,12.60370,-13.71760,23.45530,34.93760,-16.86090,11.52860,8.76757,-12.27100,-16.95400,-8.25952,152.87600,-76.36070,154.92400,-50.02270,874.18000,411.88500
85,19.72860,-14.84760,-27.69560,-41.96020,12.63700,-13.71420,23.56390,34.89640,-16.85440,11.53040,8.79299,-12.27620,-17.06600,-8.26059,152.92100,-76.38070,154.95100,-50.04110,874.15700,411.75400
86,19.73060,-14.83550,-27.67830,-41.93720,12.57580,-13.70830,23.42030,34.94200,-16.86480,11.51130,8.79289,-12.22530,-16.94880,-8.22695,152.87500,-76.38890,154.90200,-50.03080,874.18000,411.75000
87,19.73490,-14.83870,-27.69220,-41.94220,12.55170,-13.70030,23.43840,34.97490,-16.87720,11.52000,8.81242,-12.21060,-16.96910,-8.21208,152.84500,-76.40070,154.86000,-50.02470,874.18400,411.68000
88,19.74910,-14.84230,-27.73670,-41.94270,12.58750,-13.70060,23.53590,34.92650,-16.90460,11.54760,8.83922,-12.24290,-17.10040,-8.21688,152.77800,-76.41840,154.78100,-50.01190,874.15400,411.56900
89,19.75380,-14.84100,-27.75110,-41.93300,12.53790,-13.68860,23.50130,34.93380,-16.94560,11.56510,8.85534,-12.23620,-17.09840,-8.19595,152.64800,-76.42420,154.64300,-49.97740,874.17300,411.55200
90,19.77630,-14.84350,-27.78910,-41.92050,12.52700,-13.66560,23.52780,34.91560,-17.00710,11.59430,8.89190,-12.25700,-17.16260,-8.17614,152.48800,-76.43500,154.46400,-49.91820,874.16800,411.47400
91,19.80860,-14.86290,-27.82190,-41.91240,12.52230,-13.65690,23.59220,34.88880,-17.07720,11.62690,8.93136,-12.28650,-17.26200,-8.16173,152.31600,-76.44750,154.27200,-49.87200,874.15000,411.39800
92,19.84270,-14.87870,-27.84090,-41.91170,12.51870,-13.63830,23.63700,34.87160,-17.16370,11.63160,8.96269,-12.33200,-17.34510,-8.14578,152.07700,-76.45740,154.01500,-49.77670,874.14500,411.32700
93,19.88360,-14.90550,-27.84930,-41.90810,12.52040,-13.62470,23.71870,34.86730,-17.24820,11.62720,9.00620,-12.37230,-17.44370,-8.12771,151.86200,-76.47020,153.77200,-49.69620,874.12100,411.25200
94,19.93370,-14.93230,-27.83660,-41.91050,12.52600,-13.62010,23.76880,34.86190,-17.32820,11.60440,9.03093,-12.41420,-17.52130,-8.11746,151.66000,-76.48440,153.55400,-49.59890,874.11000,411.18200
95,19.97990,-14.94370,-27.84550,-41.88210,12.47970,-13.60930,23.77820,34.82600,-17.41700,11.52100,9.06068,-12.41670,-17.65220,-8.08088,151.28600,-76.55140,153.15600,-49.61150,874.08300,410.98900
96,20.01900,-14.98340,-27.78470,-41.88230,12.48420,-13.60790,23.81870,34.81820,-17.45200,11.45670,9.07589,-12.42750,-17.72510,-8.07048,151.17200,-76.57920,153.02700,-49.56460,874.06300,410.89600
97,20.06670,-15.04680,-27.71330,-41.89810,12.49010,-13.61840,23.85720,34.86750,-17.48730,11.39730,9.10201,-12.43220,-17.76530,-8.05349,151.08900,-76.60010,152.92300,-49.49900,874.04900,410.78100
98,20.12720,-15.11000,-27.64600,-41.86880,12.49060,-13.61820,23.86590,34.86240,-17.51410,11.34720,9.13337,-12.41630,-17.80650,-8.02979,151.05200,-76.62880,152.86200,-49.46720,874.01400,410.65600
99,20.20000,-15.20670,-27.51770,-41.87380,12.48840,-13.62970,23.86500,34.91170,-17.54980,11.28760,9.15966,-12.40530,-17.82080,-8.00805,150.99600,-76.64950,152.78800,-49.43010,873.99400,410.52300
100,20.27050,-15.30940,-27.34940,-41.87690,12.53200,-13.63030,23.87980,34.92440,-17.55020,11.26980,9.18584,-12.40800,-17.76390,-7.99606,151.18900,-76.62100,152.96500,-49.31630,873.95000,410.51800
101,20.35340,-15.41850,-27.13700,-41.90610,12.54060,-13.64380,23.89250,34.96320,-17.58790,11.22190,9.21716,-12.40360,-17.77230,-7.97243,151.14900,-76.63280,152.90600,-49.28610,873.92000,410.36300
102,20.42570,-15.53950,-26.90480,-41.90850,12.55680,-13.64920,23.88420,34.92720,-17.60970,11.18760,9.24786,-12.39910,-17.77900,-7.94710,151.15400,-76.63500,152.89500,-49.28830,873.87900,410.21900
103,20.49840,-15.70730,-26.85520,-41.95550,12.66440,-13.64610,24.13010,34.74180,-17.62710,11.18410,9.30630,-12.46240,-18.02880,-7.95723,151.19800,-76.64200,152.91000,-49.29720,873.83300,409.98400
104,20.56200,-15.85790,-26.86490,-41.96730,12.68170,-13.65190,24.14270,34.70390,-17.64410,11.16610,9.33731,-12.45900,-18.02650,-7.94066,151.20800,-76.64360,152.90700,-49.32380,873.81200,409.83500
105,20.62050,-15.99940,-26.80720,-41.94750,12.62330,-13.66740,23.93100,34.82360,-17.66200,11.08980,9.34340,-12.39740,-17.80180,-7.88698,151.16800,-76.63960,152.86200,-49.31740,873.78600,409.75100
106,20.70630,-16.13020,-26.86560,-41.88090,12.53880,-13.72820,23.98460,34.97760,-17.65060,10.96660,9.37239,-12.26070,-17.99990,-7.85924,151.02000,-76.79730,152.69100,-49.65030,873.74100,409.26900
107,20.76980,-16.26150,-26.80320,-41.86950,12.56980,-13.73170,24.02430,34.95830,-17.65490,10.84600,9.37971,-12.26570,-18.02970,-7.85203,151.02600,-76.80470,152.68500,-49.67850,873.71400,409.13400
108,20.83090,-16.38170,-26.66780,-41.89520,12.69610,-13.70570,24.03620,34.84140,-17.71900,10.76890,9.37099,-12.42460,-17.88420,-7.86260,151.04600,-76.66560,152.71000,-49.40710,873.71500,409.32500
109,20.89510,-16.50990,-26.65420,-41.89340,12.80810,-13.71830,24.23360,34.67090,-17.72410,10.64310,9.37299,-12.49280,-18.10560,-7.89510,151.02600,-76.68220,152.68200,-49.47870,873.68100,409.16100
110,20.94630,-16.62100,-26.58010,-41.86590,12.77730,-13.72390,24.14280,34.73300,-17.72140,10.48040,9.34313,-12.46080,-17.99950,-7.87908,150.98300,-76.68860,152.64200,-49.54730,873.67900,409.10700
111,21.00450,-16.72460,-26.54060,-41.85890,12.86590,-13.74600,24.31740,34.65890,-17.70940,10.35220,9.33801,-12.50620,-18.16640,-7.90697,151.00900,-76.69740,152.66100,-49.68150,873.65000,408.94500
